Run,NFE,Time (s),HV,GD,Solutions,ParetoFront
1,5100,32.0489507,0.014495079875216393,0.0019418833812857089,3,"[[-11986.396352016687,34944.0041115436,11630.977427921296],[-12188.913561849971,34774.55961910922,11771.928872030157],[-12148.858524259867,35025.51057233277,11675.567914610401]]"
2,5100,30.753323,0.15153649592173712,0.004051012925342465,4,"[[-16244.30186672276,46874.41400035079,15826.610001656072],[-12044.30940656157,34896.31841936637,11705.395966534432],[-12044.30940656157,34896.31841936637,11705.395966534432],[-12129.068544106474,35009.06777738949,11714.243827821336]]"
3,5100,31.942671400000002,0.01757195129263624,0.0025122848151252616,3,"[[-12170.159260301065,34867.7207078634,11670.659550945908],[-25005.486281083682,72864.77397729477,24235.827433175687],[-12229.887811906996,34946.399780727224,11664.010398625871]]"
4,5100,30.356204700000003,0.008310468375987657,0.004366808109265028,1,"[[-12106.320395180897,35004.202170480436,11658.898212855887]]"
5,5100,31.8088264,0.14768890849722913,0.006390557345792461,4,"[[-12081.954928600146,35060.278934885624,11676.423694543684],[-16144.087041010305,47364.31602627048,15857.69169650843],[-12059.492742528782,35044.043618861244,11691.13956585948],[-12196.540068786227,35068.85511989289,11750.532953968503]]"
6,5100,32.374343200000006,0.01266706915899288,0.0033617447989356545,2,"[[-12089.565384508931,35020.68424807327,11657.198508278425],[-12165.337618931162,35161.20267083312,11669.905538857936]]"
7,5100,31.9397936,0.01699536624642656,0.0044384215647624925,3,"[[-12221.183934515808,34917.07098226229,11673.295427117104],[-12221.183934515808,34917.07098226229,11673.295427117104],[-24913.07822117627,72513.37286074205,24272.855034505425]]"
8,5100,31.157541400000003,0.12987898287988325,0.004269797163878512,3,"[[-18957.831758328357,54826.85395084169,18161.178700889588],[-12145.27546891943,34773.13045054388,11735.304301243656],[-12070.529209784192,34948.3397463446,11671.278609504463]]"
9,5100,29.981159700000003,0.19840998860753944,0.0053775451813667914,6,"[[-16149.958089657819,47254.42861240656,15825.779771100824],[-12109.031301112345,34846.442897495326,11701.912277116226],[-18953.782845894642,54867.535241267185,18372.694472137915],[-12145.55117654221,34881.87602572354,11728.469820073022],[-12108.402869732441,34959.56552904685,11674.167287226792],[-16427.976314210693,48032.5937090125,15958.83941902776]]"
10,5100,30.309397,0.01599319607333519,0.0,1,"[[-12209.281358343664,34934.106670167566,11658.951580195086]]"
11,5100,30.8390659,0.009934990938024961,0.0011296618968036699,2,"[[-12127.499834126582,34896.32087924273,11651.044017443368],[-12094.757138206714,34895.57547942612,11623.951581478483]]"
12,5100,31.238303000000002,7.159256623056294E-4,0.0,1,"[[-12004.039123827311,34834.24931322736,11567.921229928488]]"
13,5100,31.556400000000004,0.014793631799594082,0.0018091089278982804,5,"[[-12066.82146560005,35012.182355784564,11629.916563983323],[-25058.37692449089,72955.2144218032,24291.781275244586],[-12076.01334240639,34861.045113151646,11670.620247450192],[-12193.485373217585,35195.64905357773,11695.968863580141],[-12143.067195176636,34922.18820495832,11688.11220353238]]"
14,5100,31.705104100000003,0.01726796622361987,0.004190514880192574,3,"[[-24313.719241693005,70684.14470461188,23645.374496057426],[-12182.908269037154,34968.491304756666,11696.992674122053],[-12024.762043922281,34848.5552008473,11651.336331237391]]"
15,5100,31.8897581,0.02379656996826677,0.006084814472849436,2,"[[-22939.492586322518,66801.6787258986,22350.841169994677],[-12027.6233841293,34787.20834821511,11705.437215651096]]"
16,5100,31.256071900000002,0.013437347396456896,0.0019307942429173054,1,"[[-12174.89890498579,34951.46192722729,11648.765090416086]]"
17,5100,30.860899500000002,0.01500862827544369,0.0,2,"[[-12195.205018621273,35010.97193832065,11654.36375525407],[-12153.584413676992,34724.65023912479,11756.435964224187]]"
18,5100,29.9952547,0.006213768873811734,0.0028834541236079825,2,"[[-12011.546734238078,34950.530563362954,11644.89682484977],[-12077.88901375041,34907.90790895082,11660.071114400325]]"
19,5100,32.1837356,0.030297628351428775,0.003826744423730561,3,"[[-23744.07928665987,68863.58621710181,23181.727147765265],[-11958.644628005855,34864.529446404165,11618.78239325],[-12283.258914758064,34918.36568000407,11737.75415283246]]"
20,5100,30.6230483,0.13087589327292554,0.006631690775818387,3,"[[-18657.160794344338,54564.08486481232,17969.31669155583],[-12164.106392260494,34968.32511107406,11634.356121414632],[-12164.106392260494,34968.32511107406,11634.356121414632]]"
21,5100,31.683637400000002,0.013999768358619026,0.002568412017289139,2,"[[-12131.718930881649,35047.07210754142,11628.654883613124],[-12182.350149424306,34935.22987297704,11698.080051767569]]"
22,5100,30.8140755,0.06950434542725925,0.004284389805673572,4,"[[-11960.786949405234,35075.37022445385,11591.643271788662],[-24983.85971390795,72688.42326569556,24352.94083356178],[-22003.456735502128,64046.73786892948,21355.37512127049],[-12393.591642209298,35123.20006305341,11809.650533664144]]"
23,5100,30.8024622,0.1974091643765088,0.004137161331665778,4,"[[-16211.40993604557,46994.56866700481,15747.840736383652],[-18670.368353285467,54102.82342420072,17927.903333305032],[-12131.062206996714,35077.92515224437,11550.540063134456],[-12131.062206996714,35077.92515224437,11550.540063134456]]"
24,5100,30.54782,0.008173057188435005,0.0019772006491351342,1,"[[-12103.931248659508,34933.283791511836,11619.76773671045]]"
25,5100,32.363032600000004,0.012742998608903752,0.0010169244366864535,3,"[[-12165.301039617505,34898.55139573198,11685.890957137779],[-12100.802990697775,34802.48416784341,11688.53223119327],[-12163.808399943488,34978.627240743925,11665.627841031299]]"
26,5100,32.0140023,0.14511801626037063,0.0,3,"[[-15495.40060554102,44746.05875244356,15129.870454517164],[-12118.248300542264,34871.748403993304,11596.45324613144],[-12118.248300542264,34871.748403993304,11596.45324613144]]"
27,5100,32.064328800000006,0.013298943396404311,0.001294620290929358,2,"[[-12172.848157460825,34768.70955405999,11706.172188780167],[-12020.452820266819,34864.661282089466,11637.233373700776]]"
28,5100,31.291397900000003,0.013119842050421977,0.0067700784717262055,3,"[[-24348.760925715986,71508.94428096662,23652.919454881],[-12039.622638998537,34794.62182607594,11739.211177351433],[-12143.499400741877,35098.219442773305,11691.635084576212]]"
29,5100,30.900726000000002,0.008518967810053839,0.0015737515204203324,2,"[[-12108.631840016136,34856.49514378916,11654.245301666013],[-12102.653709213399,34853.84356245691,11716.622993730163]]"
30,5100,29.371757700000003,0.004377426662239379,0.0022400450947520213,2,"[[-12053.014926230557,34903.381699186386,11607.043781930548],[-12053.014926230557,34903.381699186386,11607.043781930548]]"
